date,open,high,low,close,volume,extrema,change
2024-01-08 00:00:00+00:00,0.2364,0.3946,0.1804,0.325,651347127.0,0.1804,
2024-01-15 00:00:00+00:00,0.325,0.55,0.2046,0.304,1361055136.0,0.55,2.048780487804878
2024-01-22 00:00:00+00:00,0.304,0.4089,0.2075,0.3299,1621970352.0,,0.0
2024-01-29 00:00:00+00:00,0.3299,0.3455,0.2016,0.2122,1265251659.0,,0.0
2024-02-05 00:00:00+00:00,0.2122,0.3441,0.1702,0.2979,1911281885.0,0.1702,-0.6905454545454546
2024-02-12 00:00:00+00:00,0.2979,0.4792,0.2833,0.411,1311111221.0,0.4792,1.8155111633372507
2024-02-19 00:00:00+00:00,0.411,0.4165,0.2824,0.35,994508815.0,0.2824,-0.41068447412353926
2024-02-26 00:00:00+00:00,0.35,1.8073,0.3455,1.6125,2412014236.0,,0.0
2024-03-04 00:00:00+00:00,1.6125,2.4975,0.9804,2.1417,1673599246.0,,0.0
2024-03-11 00:00:00+00:00,2.1417,3.58,1.7926,3.0447,1076468933.0,3.58,11.677053824362607
2024-03-18 00:00:00+00:00,3.0447,3.3107,1.9523,2.8237,816210007.0,,0.0
2024-03-25 00:00:00+00:00,2.8237,4.8749,2.633,4.5861,757797094.0,4.8749,0.3617039106145252
2024-04-01 00:00:00+00:00,4.5861,4.6656,3.1831,3.7642,521748852.0,,0.0
2024-04-08 00:00:00+00:00,3.7642,4.3499,1.8156,3.0635,708940200.0,1.8156,-0.6275615910069949
2024-04-15 00:00:00+00:00,3.0635,3.2113,2.2458,2.9291,694543771.0,,0.0
2024-04-22 00:00:00+00:00,2.9291,3.5677,2.5895,2.6479,518189311.0,3.5677,0.9650253359770873
2024-04-29 00:00:00+00:00,2.6479,3.5033,2.263,3.2217,434335601.0,2.263,-0.36569778849118484
2024-05-06 00:00:00+00:00,3.2217,3.6863,2.7349,2.9705,376290197.0,3.6863,0.628943879805568
2024-05-13 00:00:00+00:00,2.9705,3.3666,2.4133,2.5321,496118957.0,2.4133,-0.3453327184439682
2024-05-20 00:00:00+00:00,2.5321,3.2799,2.4984,2.9529,549999597.0,,0.0
2024-05-27 00:00:00+00:00,2.9529,4.0867,2.9447,3.2017,567645178.0,4.0867,0.6934073675050763
2024-06-03 00:00:00+00:00,3.2017,3.5932,2.5124,2.7756,410973154.0,,0.0
2024-06-10 00:00:00+00:00,2.7756,2.9145,2.2026,2.6061,470515027.0,,0.0
2024-06-17 00:00:00+00:00,2.6061,2.6441,1.5723,1.5864,633694949.0,,0.0
2024-06-24 00:00:00+00:00,1.5864,2.2611,1.4666,2.1966,892316889.0,1.4666,-0.6411285389189323
2024-07-01 00:00:00+00:00,2.1966,2.3693,1.4825,1.665,1232628691.0,2.3693,0.6155052502386473
2024-07-08 00:00:00+00:00,1.665,1.8168,1.495,1.7315,753640132.0,,0.0
2024-07-15 00:00:00+00:00,1.7315,2.8443,1.724,2.8223,892196592.0,,0.0
2024-07-22 00:00:00+00:00,2.8223,2.8957,2.3166,2.4095,654761476.0,2.8957,0.2221753260456676
2024-07-29 00:00:00+00:00,2.4095,2.5666,1.3488,1.4385,750084670.0,,0.0
2024-08-05 00:00:00+00:00,1.4385,1.9577,1.0562,1.6273,1571104308.0,1.0562,-0.6352522706081432
2024-08-12 00:00:00+00:00,1.6273,1.8202,1.338,1.391,832241274.0,,0.0
2024-08-19 00:00:00+00:00,1.391,2.0362,1.3255,1.9032,825579917.0,2.0362,0.9278545729975383
2024-08-26 00:00:00+00:00,1.9032,1.9487,1.3774,1.3953,703482054.0,,0.0
2024-09-02 00:00:00+00:00,1.3953,1.6469,1.3815,1.5704,774312498.0,,0.0
2024-09-09 00:00:00+00:00,1.5704,1.77,1.4827,1.4998,528741221.0,,0.0
2024-09-16 00:00:00+00:00,1.4998,1.9051,1.4443,1.6924,572993701.0,1.4443,-0.29068853747176115
2024-09-23 00:00:00+00:00,1.6924,2.5799,1.675,2.4517,998612728.0,,0.0
2024-09-30 00:00:00+00:00,2.4517,2.6398,1.9665,2.5613,1077423718.0,,0.0
2024-10-07 00:00:00+00:00,2.5613,2.864,2.2203,2.6617,764773678.0,,0.0
2024-10-14 00:00:00+00:00,2.6617,2.9765,2.4401,2.7183,720428641.0,2.9765,1.060859932147061
2024-10-21 00:00:00+00:00,2.7183,2.7857,2.1789,2.4916,698530230.0,,0.0
2024-10-28 00:00:00+00:00,2.4916,2.7048,1.9593,2.0766,750595781.0,,0.0
2024-11-04 00:00:00+00:00,2.0766,2.8847,1.8777,2.7462,1093496229.0,1.8777,-0.36915840752561735
2024-11-11 00:00:00+00:00,2.7462,4.8848,2.7335,3.6184,1783286382.0,4.8848,1.6014805346967038
2024-11-18 00:00:00+00:00,3.6184,3.7243,2.9766,3.1734,969006998.0,,0.0
2024-11-25 00:00:00+00:00,3.1734,3.6586,2.904,3.4453,798912957.0,2.904,-0.405502784146741
2024-12-02 00:00:00+00:00,3.4453,4.0245,2.924,3.7205,1035480764.0,4.0245,0.38584710743801653
2024-12-09 00:00:00+00:00,3.7205,3.7247,2.55,2.8571,1023223930.0,,0.0
2024-12-16 00:00:00+00:00,2.8571,2.9283,1.7239,1.9172,1107508980.0,1.7239,-0.5716486520064604
2024-12-23 00:00:00+00:00,1.9172,2.0975,1.7963,1.9125,371391287.0,,0.0
