date,open,high,low,close,volume,date_1w,open_1w,high_1w,low_1w,close_1w,volume_1w,extrema_1w,change_1w
2024-12-17 02:15:00+00:00,2.765,2.7745,2.746,2.7691,602721.0,,,,,,,,
2024-12-17 02:30:00+00:00,2.7691,2.77,2.7492,2.7598,492932.0,,,,,,,,
2024-12-17 02:45:00+00:00,2.7598,2.7669,2.7521,2.7555,419125.0,,,,,,,,
2024-12-17 03:00:00+00:00,2.7555,2.7782,2.7424,2.7527,562962.0,,,,,,,,
2024-12-17 03:15:00+00:00,2.7527,2.7721,2.751,2.7601,402084.0,,,,,,,,
2024-12-17 03:30:00+00:00,2.7601,2.7692,2.7537,2.7637,451439.0,,,,,,,,
2024-12-17 03:45:00+00:00,2.7637,2.778,2.7614,2.7746,405557.0,,,,,,,,
2024-12-17 04:00:00+00:00,2.7746,2.784,2.7487,2.7549,961103.0,,,,,,,,
2024-12-17 04:15:00+00:00,2.7549,2.758,2.7401,2.7425,630433.0,,,,,,,,
2024-12-17 04:30:00+00:00,2.7425,2.745,2.7262,2.7295,796782.0,,,,,,,,
2024-12-17 04:45:00+00:00,2.7295,2.7503,2.727,2.7471,411361.0,,,,,,,,
2024-12-17 05:00:00+00:00,2.7471,2.7688,2.7446,2.7446,804042.0,,,,,,,,
2024-12-17 05:15:00+00:00,2.7446,2.7498,2.7366,2.7475,363471.0,,,,,,,,
2024-12-17 05:30:00+00:00,2.7475,2.7599,2.7415,2.7444,255018.0,,,,,,,,
2024-12-17 05:45:00+00:00,2.7444,2.7681,2.7428,2.7606,312491.0,,,,,,,,
2024-12-17 06:00:00+00:00,2.7606,2.764,2.7484,2.7568,485559.0,,,,,,,,
2024-12-17 06:15:00+00:00,2.7568,2.7589,2.7435,2.7444,352477.0,,,,,,,,
2024-12-17 06:30:00+00:00,2.7444,2.7613,2.7406,2.7574,331174.0,,,,,,,,
2024-12-17 06:45:00+00:00,2.7574,2.7677,2.7567,2.7653,389881.0,,,,,,,,
2024-12-17 07:00:00+00:00,2.7653,2.7877,2.7636,2.7728,823924.0,,,,,,,,
2024-12-17 07:15:00+00:00,2.7728,2.783,2.762,2.7791,449866.0,,,,,,,,
2024-12-17 07:30:00+00:00,2.7791,2.783,2.768,2.7819,632022.0,,,,,,,,
2024-12-17 07:45:00+00:00,2.7819,2.7835,2.7532,2.767,725817.0,,,,,,,,
2024-12-17 08:00:00+00:00,2.767,2.7823,2.766,2.7811,440604.0,,,,,,,,
2024-12-17 08:15:00+00:00,2.7811,2.7865,2.7744,2.7811,429641.0,,,,,,,,
2024-12-17 08:30:00+00:00,2.7811,2.8082,2.7756,2.7977,1042886.0,,,,,,,,
2024-12-17 08:45:00+00:00,2.7977,2.7991,2.7783,2.7808,457896.0,,,,,,,,
2024-12-17 09:00:00+00:00,2.7808,2.7855,2.7654,2.7695,571081.0,,,,,,,,
2024-12-17 09:15:00+00:00,2.7695,2.8044,2.7689,2.8002,809026.0,,,,,,,,
2024-12-17 09:30:00+00:00,2.8002,2.8147,2.7943,2.8135,809345.0,,,,,,,,
2024-12-17 09:45:00+00:00,2.8135,2.8335,2.8129,2.8279,1101252.0,,,,,,,,
2024-12-17 10:00:00+00:00,2.8279,2.83,2.8088,2.8139,1056968.0,,,,,,,,
2024-12-17 10:15:00+00:00,2.8139,2.8147,2.7976,2.8077,1110115.0,,,,,,,,
2024-12-17 10:30:00+00:00,2.8077,2.8238,2.7948,2.8064,754439.0,,,,,,,,
2024-12-17 10:45:00+00:00,2.8064,2.8202,2.8064,2.817,473505.0,,,,,,,,
2024-12-17 11:00:00+00:00,2.817,2.8207,2.8018,2.8104,374148.0,,,,,,,,
2024-12-17 11:15:00+00:00,2.8104,2.8125,2.7872,2.8071,725675.0,,,,,,,,
2024-12-17 11:30:00+00:00,2.8071,2.8174,2.7974,2.812,771671.0,,,,,,,,
2024-12-17 11:45:00+00:00,2.812,2.8163,2.7903,2.8,616797.0,,,,,,,,
2024-12-17 12:00:00+00:00,2.8,2.8154,2.7842,2.7956,918505.0,,,,,,,,
2024-12-17 12:15:00+00:00,2.7956,2.8102,2.7938,2.8075,516945.0,,,,,,,,
2024-12-17 12:30:00+00:00,2.8075,2.8286,2.8075,2.8278,873428.0,,,,,,,,
2024-12-17 12:45:00+00:00,2.8278,2.8366,2.8161,2.8217,1195157.0,,,,,,,,
2024-12-17 13:00:00+00:00,2.8217,2.8217,2.7983,2.8049,1224598.0,,,,,,,,
2024-12-17 13:15:00+00:00,2.8049,2.8146,2.7988,2.7996,692681.0,,,,,,,,
2024-12-17 13:30:00+00:00,2.7996,2.8158,2.786,2.7958,1084967.0,,,,,,,,
2024-12-17 13:45:00+00:00,2.7958,2.8068,2.79,2.7944,936786.0,,,,,,,,
2024-12-17 14:00:00+00:00,2.7944,2.803,2.7729,2.7891,1903033.0,,,,,,,,
2024-12-17 14:15:00+00:00,2.7891,2.7984,2.773,2.7871,778207.0,,,,,,,,
2024-12-17 14:30:00+00:00,2.7871,2.7981,2.7351,2.7561,2551700.0,,,,,,,,
2024-12-17 14:45:00+00:00,2.7561,2.7821,2.7382,2.7755,2034321.0,,,,,,,,
2024-12-17 15:00:00+00:00,2.7755,2.7758,2.7122,2.7182,1992820.0,,,,,,,,
2024-12-17 15:15:00+00:00,2.7182,2.7183,2.6758,2.6785,3403960.0,,,,,,,,
2024-12-17 15:30:00+00:00,2.6785,2.7091,2.6785,2.7086,1689153.0,,,,,,,,
2024-12-17 15:45:00+00:00,2.7086,2.7153,2.683,2.6979,1089748.0,,,,,,,,
2024-12-17 16:00:00+00:00,2.6979,2.8344,2.6703,2.8319,10315331.0,,,,,,,,
2024-12-17 16:15:00+00:00,2.8319,2.8572,2.7836,2.8097,7335942.0,,,,,,,,
2024-12-17 16:30:00+00:00,2.8097,2.8488,2.8047,2.8181,2730529.0,,,,,,,,
2024-12-17 16:45:00+00:00,2.8181,2.8312,2.798,2.8187,1446986.0,,,,,,,,
2024-12-17 17:00:00+00:00,2.8187,2.855,2.8163,2.829,2060941.0,,,,,,,,
2024-12-17 17:15:00+00:00,2.829,2.8406,2.8094,2.8304,1572488.0,,,,,,,,
2024-12-17 17:30:00+00:00,2.8304,2.8435,2.8206,2.8401,802438.0,,,,,,,,
2024-12-17 17:45:00+00:00,2.8401,2.8736,2.8364,2.8566,1813004.0,,,,,,,,
2024-12-17 18:00:00+00:00,2.8566,2.8651,2.8367,2.8406,1147825.0,,,,,,,,
2024-12-17 18:15:00+00:00,2.8406,2.8431,2.8069,2.8118,1275780.0,,,,,,,,
2024-12-17 18:30:00+00:00,2.8118,2.8485,2.8115,2.8372,1685445.0,,,,,,,,
2024-12-17 18:45:00+00:00,2.8372,2.8428,2.8058,2.8144,1304644.0,,,,,,,,
2024-12-17 19:00:00+00:00,2.8144,2.8285,2.7951,2.8065,1175348.0,,,,,,,,
2024-12-17 19:15:00+00:00,2.8065,2.8227,2.801,2.8078,691319.0,,,,,,,,
2024-12-17 19:30:00+00:00,2.8078,2.8179,2.7956,2.8179,437435.0,,,,,,,,
2024-12-17 19:45:00+00:00,2.8179,2.8306,2.8012,2.8042,518534.0,,,,,,,,
2024-12-17 20:00:00+00:00,2.8042,2.8222,2.7906,2.7959,864095.0,,,,,,,,
2024-12-17 20:15:00+00:00,2.7959,2.7959,2.7802,2.7833,629236.0,,,,,,,,
2024-12-17 20:30:00+00:00,2.7833,2.7995,2.7775,2.7942,626279.0,,,,,,,,
2024-12-17 20:45:00+00:00,2.7942,2.8088,2.78,2.7836,529550.0,,,,,,,,
2024-12-17 21:00:00+00:00,2.7836,2.785,2.7546,2.7727,1075448.0,,,,,,,,
2024-12-17 21:15:00+00:00,2.7727,2.7939,2.7711,2.7877,1049855.0,,,,,,,,
2024-12-17 21:30:00+00:00,2.7877,2.7897,2.7674,2.7742,1183316.0,,,,,,,,
2024-12-17 21:45:00+00:00,2.7742,2.7851,2.7626,2.7713,434421.0,,,,,,,,
2024-12-17 22:00:00+00:00,2.7713,2.7767,2.7453,2.7501,1083441.0,,,,,,,,
2024-12-17 22:15:00+00:00,2.7501,2.7666,2.7311,2.7395,1585999.0,,,,,,,,
2024-12-17 22:30:00+00:00,2.7395,2.7441,2.7162,2.717,1063066.0,,,,,,,,
2024-12-17 22:45:00+00:00,2.717,2.7303,2.7115,2.7212,853796.0,,,,,,,,
2024-12-17 23:00:00+00:00,2.7212,2.7212,2.6797,2.6862,1836853.0,,,,,,,,
2024-12-17 23:15:00+00:00,2.6862,2.7251,2.68,2.712,1004792.0,,,,,,,,
2024-12-17 23:30:00+00:00,2.712,2.7128,2.6852,2.7054,1034785.0,,,,,,,,
2024-12-17 23:45:00+00:00,2.7054,2.7146,2.6931,2.712,1110756.0,,,,,,,,
2024-12-18 00:00:00+00:00,2.712,2.7361,2.6983,2.7301,1163504.0,,,,,,,,
2024-12-18 00:15:00+00:00,2.7301,2.7453,2.7102,2.7131,1053242.0,,,,,,,,
2024-12-18 00:30:00+00:00,2.7131,2.7226,2.6731,2.7163,1972619.0,,,,,,,,
2024-12-18 00:45:00+00:00,2.7163,2.7558,2.714,2.7354,1392126.0,,,,,,,,
2024-12-18 01:00:00+00:00,2.7354,2.7695,2.7322,2.7625,1143087.0,,,,,,,,
2024-12-18 01:15:00+00:00,2.7625,2.783,2.7403,2.7403,835153.0,,,,,,,,
2024-12-18 01:30:00+00:00,2.7403,2.757,2.7186,2.7223,928935.0,,,,,,,,
2024-12-18 01:45:00+00:00,2.7223,2.728,2.688,2.6976,1658643.0,,,,,,,,
2024-12-18 02:00:00+00:00,2.6976,2.7307,2.6844,2.7091,1323680.0,,,,,,,,
2024-12-18 02:15:00+00:00,2.7091,2.7289,2.7051,2.7198,620623.0,,,,,,,,
2024-12-18 02:30:00+00:00,2.7198,2.7251,2.7097,2.7125,338235.0,,,,,,,,
2024-12-18 02:45:00+00:00,2.7125,2.722,2.7005,2.7194,366865.0,,,,,,,,
2024-12-18 03:00:00+00:00,2.7194,2.7308,2.7027,2.7058,760936.0,,,,,,,,
2024-12-18 03:15:00+00:00,2.7058,2.7228,2.7034,2.7076,257743.0,,,,,,,,
2024-12-18 03:30:00+00:00,2.7076,2.7172,2.6901,2.6937,1063877.0,,,,,,,,
2024-12-18 03:45:00+00:00,2.6937,2.6988,2.6799,2.6888,594192.0,,,,,,,,
2024-12-18 04:00:00+00:00,2.6888,2.6932,2.655,2.668,1934128.0,,,,,,,,
2024-12-18 04:15:00+00:00,2.668,2.6877,2.6431,2.6594,1662383.0,,,,,,,,
2024-12-18 04:30:00+00:00,2.6594,2.6635,2.611,2.6449,2636170.0,,,,,,,,
2024-12-18 04:45:00+00:00,2.6449,2.6492,2.6122,2.6448,1169537.0,,,,,,,,
2024-12-18 05:00:00+00:00,2.6448,2.6538,2.6257,2.6462,871246.0,,,,,,,,
2024-12-18 05:15:00+00:00,2.6462,2.6592,2.6362,2.6394,859961.0,,,,,,,,
2024-12-18 05:30:00+00:00,2.6394,2.6433,2.6066,2.6118,1016326.0,,,,,,,,
2024-12-18 05:45:00+00:00,2.6118,2.6204,2.514,2.5378,8275221.0,,,,,,,,
2024-12-18 06:00:00+00:00,2.5378,2.5452,2.525,2.5414,1925110.0,,,,,,,,
2024-12-18 06:15:00+00:00,2.5414,2.5574,2.5282,2.5426,2275775.0,,,,,,,,
2024-12-18 06:30:00+00:00,2.5426,2.5457,2.5037,2.5116,2296546.0,,,,,,,,
2024-12-18 06:45:00+00:00,2.5116,2.5473,2.5028,2.5365,2408654.0,,,,,,,,
2024-12-18 07:00:00+00:00,2.5365,2.5513,2.5242,2.5462,1191619.0,,,,,,,,
2024-12-18 07:15:00+00:00,2.5462,2.5578,2.5354,2.5575,1174149.0,,,,,,,,
2024-12-18 07:30:00+00:00,2.5575,2.5631,2.5361,2.5604,1024415.0,,,,,,,,
2024-12-18 07:45:00+00:00,2.5604,2.561,2.5361,2.5389,902427.0,,,,,,,,
2024-12-18 08:00:00+00:00,2.5389,2.5608,2.5374,2.5549,725080.0,,,,,,,,
2024-12-18 08:15:00+00:00,2.5549,2.5549,2.5309,2.5338,717229.0,,,,,,,,
2024-12-18 08:30:00+00:00,2.5338,2.5513,2.5245,2.5354,807527.0,,,,,,,,
2024-12-18 08:45:00+00:00,2.5354,2.5512,2.5349,2.5508,634626.0,,,,,,,,
2024-12-18 09:00:00+00:00,2.5508,2.5724,2.5448,2.5588,985164.0,,,,,,,,
2024-12-18 09:15:00+00:00,2.5588,2.566,2.5508,2.5516,838501.0,,,,,,,,
2024-12-18 09:30:00+00:00,2.5516,2.5656,2.5513,2.5604,472713.0,,,,,,,,
2024-12-18 09:45:00+00:00,2.5604,2.5676,2.5465,2.5491,449927.0,,,,,,,,
2024-12-18 10:00:00+00:00,2.5491,2.5514,2.5371,2.5457,571651.0,,,,,,,,
2024-12-18 10:15:00+00:00,2.5457,2.5457,2.5267,2.5376,894088.0,,,,,,,,
2024-12-18 10:30:00+00:00,2.5376,2.5422,2.5301,2.5415,370381.0,,,,,,,,
2024-12-18 10:45:00+00:00,2.5415,2.5619,2.536,2.5545,1031291.0,,,,,,,,
2024-12-18 11:00:00+00:00,2.5545,2.5702,2.5511,2.5643,761015.0,,,,,,,,
2024-12-18 11:15:00+00:00,2.5643,2.5724,2.5543,2.5637,714872.0,,,,,,,,
2024-12-18 11:30:00+00:00,2.5637,2.5747,2.5559,2.5643,536224.0,,,,,,,,
2024-12-18 11:45:00+00:00,2.5643,2.5655,2.5511,2.562,780359.0,,,,,,,,
2024-12-18 12:00:00+00:00,2.562,2.5662,2.5483,2.5615,775572.0,,,,,,,,
2024-12-18 12:15:00+00:00,2.5615,2.5637,2.527,2.529,1281959.0,,,,,,,,
2024-12-18 12:30:00+00:00,2.529,2.5312,2.4824,2.5094,4758774.0,,,,,,,,
2024-12-18 12:45:00+00:00,2.5094,2.5177,2.4888,2.5059,2070705.0,,,,,,,,
2024-12-18 13:00:00+00:00,2.5059,2.5267,2.4909,2.5133,1397932.0,,,,,,,,
2024-12-18 13:15:00+00:00,2.5133,2.5324,2.5099,2.5311,1410114.0,,,,,,,,
2024-12-18 13:30:00+00:00,2.5311,2.5317,2.5165,2.5198,475036.0,,,,,,,,
2024-12-18 13:45:00+00:00,2.5198,2.5239,2.5002,2.5173,812441.0,,,,,,,,
2024-12-18 14:00:00+00:00,2.5173,2.5342,2.5157,2.5206,942349.0,,,,,,,,
2024-12-18 14:15:00+00:00,2.5206,2.5381,2.5206,2.5289,805850.0,,,,,,,,
2024-12-18 14:30:00+00:00,2.5289,2.5336,2.5053,2.5288,962820.0,,,,,,,,
2024-12-18 14:45:00+00:00,2.5288,2.5405,2.496,2.5033,2071311.0,,,,,,,,
2024-12-18 15:00:00+00:00,2.5033,2.5559,2.4864,2.5532,4367768.0,,,,,,,,
2024-12-18 15:15:00+00:00,2.5532,2.5571,2.5264,2.5389,4684053.0,,,,,,,,
2024-12-18 15:30:00+00:00,2.5389,2.5406,2.5151,2.525,1581584.0,,,,,,,,
2024-12-18 15:45:00+00:00,2.525,2.5269,2.5028,2.518,761851.0,,,,,,,,
2024-12-18 16:00:00+00:00,2.518,2.5315,2.5123,2.5166,675612.0,,,,,,,,
2024-12-18 16:15:00+00:00,2.5166,2.5192,2.4901,2.5141,1648751.0,,,,,,,,
2024-12-18 16:30:00+00:00,2.5141,2.5251,2.5041,2.5209,592558.0,,,,,,,,
2024-12-18 16:45:00+00:00,2.5209,2.5229,2.5062,2.513,353152.0,,,,,,,,
2024-12-18 17:00:00+00:00,2.513,2.5144,2.49,2.5006,766248.0,,,,,,,,
2024-12-18 17:15:00+00:00,2.5006,2.5098,2.4844,2.4942,485356.0,,,,,,,,
2024-12-18 17:30:00+00:00,2.4942,2.54,2.4925,2.5324,1073863.0,,,,,,,,
2024-12-18 17:45:00+00:00,2.5324,2.5471,2.5246,2.5269,672343.0,,,,,,,,
2024-12-18 18:00:00+00:00,2.5269,2.5345,2.5109,2.5302,783240.0,,,,,,,,
