date,open,high,low,close,volume,boundaries,left,right,bids_max,bids_min,asks_max,asks_min
2025-01-05 19:58:00+00:00,212.72,212.8,212.71,212.76,485.0,"(210.296, 219.71]",210.296,219.71,219.39,217.4,217.39,215.4
2025-01-05 19:59:00+00:00,212.76,212.77,212.67,212.74,1858.7,"(210.296, 219.71]",210.296,219.71,219.39,217.4,217.39,215.4
2025-01-05 20:00:00+00:00,212.74,213.01,212.73,213.0,2414.7,"(210.296, 219.71]",210.296,219.71,219.39,217.4,217.39,215.4
2025-01-05 20:01:00+00:00,213.0,213.02,212.89,212.99,879.6,"(210.296, 219.71]",210.296,219.71,219.39,217.4,217.39,215.4
2025-01-05 20:02:00+00:00,212.99,213.0,212.82,212.86,1400.7,"(210.296, 219.71]",210.296,219.71,219.39,217.4,217.39,215.4
2025-01-05 20:03:00+00:00,212.86,212.86,212.8,212.8,310.9,"(210.296, 219.71]",210.296,219.71,219.39,217.4,217.39,215.4
2025-01-05 20:04:00+00:00,212.8,212.8,212.62,212.63,1760.2,"(210.296, 219.71]",210.296,219.71,219.39,217.4,217.39,215.4
2025-01-05 20:05:00+00:00,212.63,212.71,212.53,212.64,3608.6,"(210.296, 219.71]",210.296,219.71,219.39,217.4,217.39,215.4
2025-01-05 20:06:00+00:00,212.64,212.79,212.64,212.78,949.2,"(210.296, 219.71]",210.296,219.71,219.39,217.4,217.39,215.4
2025-01-05 20:07:00+00:00,212.78,212.9,212.77,212.89,320.6,"(210.296, 219.71]",210.296,219.71,219.39,217.4,217.39,215.4
2025-01-05 20:08:00+00:00,212.89,212.89,212.8,212.87,408.2,"(210.296, 219.71]",210.296,219.71,219.39,217.4,217.39,215.4
2025-01-05 20:09:00+00:00,212.87,212.91,212.87,212.88,227.2,"(210.296, 219.71]",210.296,219.71,219.39,217.4,217.39,215.4
2025-01-05 20:10:00+00:00,212.88,213.1,212.88,213.07,1555.2,"(210.296, 219.71]",210.296,219.71,219.39,217.4,217.39,215.4
2025-01-05 20:11:00+00:00,213.07,213.07,212.82,213.01,3922.6,"(210.296, 219.71]",210.296,219.71,219.39,217.4,217.39,215.4
2025-01-05 20:12:00+00:00,213.01,213.1,213.01,213.03,2547.0,"(210.296, 219.71]",210.296,219.71,219.39,217.4,217.39,215.4
2025-01-05 20:13:00+00:00,213.03,213.11,213.0,213.11,1581.7,"(210.296, 219.71]",210.296,219.71,219.39,217.4,217.39,215.4
2025-01-05 20:14:00+00:00,213.11,213.14,213.06,213.14,1806.1,"(210.296, 219.71]",210.296,219.71,219.39,217.4,217.39,215.4
2025-01-05 20:15:00+00:00,213.14,213.22,213.1,213.13,2456.3,"(210.296, 219.71]",210.296,219.71,219.39,217.4,217.39,215.4
2025-01-05 20:16:00+00:00,213.13,213.13,213.01,213.04,1740.9,"(210.296, 219.71]",210.296,219.71,219.39,217.4,217.39,215.4
2025-01-05 20:17:00+00:00,213.04,213.29,213.01,213.27,3116.6,"(210.296, 219.71]",210.296,219.71,219.39,217.4,217.39,215.4
2025-01-05 20:18:00+00:00,213.27,213.79,213.27,213.74,16992.4,"(210.296, 219.71]",210.296,219.71,219.39,217.4,217.39,215.4
2025-01-05 20:19:00+00:00,213.74,213.9,213.64,213.77,10864.8,"(210.296, 219.71]",210.296,219.71,219.39,217.4,217.39,215.4
2025-01-05 20:20:00+00:00,213.77,213.78,213.53,213.54,4163.6,"(210.296, 219.71]",210.296,219.71,219.39,217.4,217.39,215.4
2025-01-05 20:21:00+00:00,213.54,213.69,213.39,213.62,4930.1,"(210.296, 219.71]",210.296,219.71,219.39,217.4,217.39,215.4
2025-01-05 20:22:00+00:00,213.62,213.67,213.42,213.58,2529.5,"(210.296, 219.71]",210.296,219.71,219.39,217.4,217.39,215.4
2025-01-05 20:23:00+00:00,213.58,213.58,213.42,213.55,712.5,"(210.296, 219.71]",210.296,219.71,219.39,217.4,217.39,215.4
2025-01-05 20:24:00+00:00,213.55,213.69,213.51,213.51,3088.4,"(210.296, 219.71]",210.296,219.71,219.39,217.4,217.39,215.4
2025-01-05 20:25:00+00:00,213.51,213.6,213.51,213.55,911.1,"(210.296, 219.71]",210.296,219.71,219.39,217.4,217.39,215.4
2025-01-05 20:26:00+00:00,213.55,213.61,213.52,213.58,497.8,"(210.296, 219.71]",210.296,219.71,219.39,217.4,217.39,215.4
2025-01-05 20:27:00+00:00,213.58,213.6,213.47,213.51,934.9,"(210.296, 219.71]",210.296,219.71,219.39,217.4,217.39,215.4
2025-01-05 20:28:00+00:00,213.51,213.59,213.47,213.48,753.2,"(210.296, 219.71]",210.296,219.71,219.39,217.4,217.39,215.4
2025-01-05 20:29:00+00:00,213.48,213.48,213.41,213.44,385.4,"(210.296, 219.71]",210.296,219.71,219.39,217.4,217.39,215.4
2025-01-05 20:30:00+00:00,213.44,213.55,213.21,213.21,1374.9,"(210.296, 219.71]",210.296,219.71,219.39,217.4,217.39,215.4
2025-01-05 20:31:00+00:00,213.21,213.21,212.93,213.05,3417.0,"(210.296, 219.71]",210.296,219.71,219.39,217.4,217.39,215.4
2025-01-05 20:32:00+00:00,213.05,213.11,212.89,213.08,5431.6,"(210.296, 219.71]",210.296,219.71,219.39,217.4,217.39,215.4
2025-01-05 20:33:00+00:00,213.08,213.11,212.94,213.02,2252.9,"(210.296, 219.71]",210.296,219.71,219.39,217.4,217.39,215.4
2025-01-05 20:34:00+00:00,213.02,213.05,212.86,212.87,2346.2,"(210.296, 219.71]",210.296,219.71,219.39,217.4,217.39,215.4
2025-01-05 20:35:00+00:00,212.87,213.07,212.84,212.98,2424.5,"(210.296, 219.71]",210.296,219.71,219.39,217.4,217.39,215.4
2025-01-05 20:36:00+00:00,212.98,212.98,212.82,212.88,1466.6,"(210.296, 219.71]",210.296,219.71,219.39,217.4,217.39,215.4
2025-01-05 20:37:00+00:00,212.88,213.06,212.83,213.05,657.5,"(210.296, 219.71]",210.296,219.71,219.39,217.4,217.39,215.4
2025-01-05 20:38:00+00:00,213.05,213.12,212.97,213.01,299.8,"(210.296, 219.71]",210.296,219.71,219.39,217.4,217.39,215.4
2025-01-05 20:39:00+00:00,213.01,213.04,212.98,213.04,167.6,"(210.296, 219.71]",210.296,219.71,219.39,217.4,217.39,215.4
2025-01-05 20:40:00+00:00,213.04,213.08,212.96,213.08,1323.5,"(210.296, 219.71]",210.296,219.71,219.39,217.4,217.39,215.4
2025-01-05 20:41:00+00:00,213.08,213.08,212.9,213.03,562.1,"(210.296, 219.71]",210.296,219.71,219.39,217.4,217.39,215.4
2025-01-05 20:42:00+00:00,213.03,213.03,212.94,212.97,151.0,"(210.296, 219.71]",210.296,219.71,219.39,217.4,217.39,215.4
2025-01-05 20:43:00+00:00,212.97,213.04,212.92,213.04,351.6,"(210.296, 219.71]",210.296,219.71,219.39,217.4,217.39,215.4
2025-01-05 20:44:00+00:00,213.04,213.06,212.98,212.99,207.8,"(210.296, 219.71]",210.296,219.71,219.39,217.4,217.39,215.4
2025-01-05 20:45:00+00:00,212.99,212.99,212.9,212.94,369.2,"(210.296, 219.71]",210.296,219.71,219.39,217.4,217.39,215.4
2025-01-05 20:46:00+00:00,212.94,213.0,212.9,212.92,859.7,"(210.296, 219.71]",210.296,219.71,219.39,217.4,217.39,215.4
2025-01-05 20:47:00+00:00,212.92,212.95,212.6,212.65,8492.6,"(210.296, 219.71]",210.296,219.71,219.39,217.4,217.39,215.4
2025-01-05 20:48:00+00:00,212.65,212.65,212.46,212.46,2344.1,"(210.296, 219.71]",210.296,219.71,219.39,217.4,217.39,215.4
2025-01-05 20:49:00+00:00,212.46,212.68,212.44,212.63,1882.3,"(210.296, 219.71]",210.296,219.71,219.39,217.4,217.39,215.4
2025-01-05 20:50:00+00:00,212.63,212.65,212.52,212.65,1381.2,"(210.296, 219.71]",210.296,219.71,219.39,217.4,217.39,215.4
2025-01-05 20:51:00+00:00,212.65,212.8,212.65,212.66,1266.6,"(210.296, 219.71]",210.296,219.71,219.39,217.4,217.39,215.4
2025-01-05 20:52:00+00:00,212.66,212.68,212.48,212.56,1218.5,"(210.296, 219.71]",210.296,219.71,219.39,217.4,217.39,215.4
2025-01-05 20:53:00+00:00,212.56,212.63,212.56,212.59,437.2,"(210.296, 219.71]",210.296,219.71,219.39,217.4,217.39,215.4
2025-01-05 20:54:00+00:00,212.59,212.6,212.57,212.59,247.5,"(210.296, 219.71]",210.296,219.71,219.39,217.4,217.39,215.4
2025-01-05 20:55:00+00:00,212.59,212.79,212.59,212.73,4764.8,"(210.296, 219.71]",210.296,219.71,219.39,217.4,217.39,215.4
2025-01-05 20:56:00+00:00,212.73,212.74,212.69,212.69,279.0,"(210.296, 219.71]",210.296,219.71,219.39,217.4,217.39,215.4
2025-01-05 20:57:00+00:00,212.69,212.8,212.63,212.8,879.7,"(210.296, 219.71]",210.296,219.71,219.39,217.4,217.39,215.4
2025-01-05 20:58:00+00:00,212.8,212.83,212.77,212.82,696.0,"(210.296, 219.71]",210.296,219.71,219.39,217.4,217.39,215.4
2025-01-05 20:59:00+00:00,212.82,212.93,212.8,212.92,429.8,"(210.296, 219.71]",210.296,219.71,219.39,217.4,217.39,215.4
2025-01-05 21:00:00+00:00,212.92,213.02,212.87,212.87,774.5,"(210.296, 219.71]",210.296,219.71,219.39,217.4,217.39,215.4
2025-01-05 21:01:00+00:00,212.87,212.99,212.87,212.99,486.0,"(210.296, 219.71]",210.296,219.71,219.39,217.4,217.39,215.4
2025-01-05 21:02:00+00:00,212.99,212.99,212.86,212.92,463.6,"(210.296, 219.71]",210.296,219.71,219.39,217.4,217.39,215.4
2025-01-05 21:03:00+00:00,212.92,212.93,212.87,212.87,94.2,"(210.296, 219.71]",210.296,219.71,219.39,217.4,217.39,215.4
2025-01-05 21:04:00+00:00,212.87,212.98,212.86,212.9,1147.0,"(210.296, 219.71]",210.296,219.71,219.39,217.4,217.39,215.4
2025-01-05 21:05:00+00:00,212.9,213.02,212.9,212.99,444.3,"(210.296, 219.71]",210.296,219.71,219.39,217.4,217.39,215.4
2025-01-05 21:06:00+00:00,212.99,212.99,212.89,212.95,160.9,"(210.296, 219.71]",210.296,219.71,219.39,217.4,217.39,215.4
2025-01-05 21:07:00+00:00,212.95,213.07,212.93,213.07,320.8,"(210.296, 219.71]",210.296,219.71,219.39,217.4,217.39,215.4
2025-01-05 21:08:00+00:00,213.07,213.2,213.07,213.18,1599.8,"(210.296, 219.71]",210.296,219.71,219.39,217.4,217.39,215.4
2025-01-05 21:09:00+00:00,213.18,213.22,213.1,213.1,892.0,"(210.296, 219.71]",210.296,219.71,219.39,217.4,217.39,215.4
2025-01-05 21:10:00+00:00,213.1,213.11,212.98,212.98,2477.7,"(210.296, 219.71]",210.296,219.71,219.39,217.4,217.39,215.4
2025-01-05 21:11:00+00:00,212.98,212.99,212.87,212.92,2233.4,"(210.296, 219.71]",210.296,219.71,219.39,217.4,217.39,215.4
2025-01-05 21:12:00+00:00,212.92,213.08,212.92,213.06,1151.3,"(210.296, 219.71]",210.296,219.71,219.39,217.4,217.39,215.4
2025-01-05 21:13:00+00:00,213.06,213.08,213.03,213.07,359.5,"(210.296, 219.71]",210.296,219.71,219.39,217.4,217.39,215.4
2025-01-05 21:14:00+00:00,213.07,213.09,213.05,213.05,1135.3,"(210.296, 219.71]",210.296,219.71,219.39,217.4,217.39,215.4
2025-01-05 21:15:00+00:00,213.05,213.09,212.88,212.93,3211.8,"(210.296, 219.71]",210.296,219.71,219.39,217.4,217.39,215.4
2025-01-05 21:16:00+00:00,212.93,212.99,212.86,212.96,2155.1,"(210.296, 219.71]",210.296,219.71,219.39,217.4,217.39,215.4
2025-01-05 21:17:00+00:00,212.96,213.07,212.96,213.06,1270.8,"(210.296, 219.71]",210.296,219.71,219.39,217.4,217.39,215.4
